,tract,total_preschools_one_mile,total_preschools_five_mile,total_elementary_2.5_mile,total_good_elementary_2.5_mile,nearest_elementary_dist,PI_elementary,nearest_elementary,total_middle_2.5_mile,total_good_middle_2.5_mile,nearest_middle_dist,PI_middle,nearest_middle,total_High_2.5_mile,total_good_High_2.5_mile,nearest_High_dist,PI_High,nearest_High
361,127501,5,20,4,4,134,166,"('Miles Park School', (41.4482709, -81.62155600000001))",4,3,120,58,"('Entrepreneurship Preparatory School - Woodland Hills Campus', (41.4628878, -81.62217609999999))",13,7,172,58,"('John Adams High School', (41.4544124, -81.6016219))"
66,130103,6,30,29,23,228,14,"('Westerly Elementary School', (41.4843389, -81.95517290000001))",7,5,371,10,"('Bay Middle School', (41.4841402, -81.9268821))",16,9,209,10,"('Bay High School', (41.486959999999996, -81.943391))"
292,130104,5,29,27,23,366,14,"('Westerly Elementary School', (41.4843389, -81.95517290000001))",6,5,61,10,"('Bay Middle School', (41.4841402, -81.9268821))",15,9,29,10,"('Bay High School', (41.486959999999996, -81.943391))"
9,130105,5,27,26,23,444,11,"('Hilliard Elementary School', (41.4616626, -81.88935359999999))",6,5,86,10,"('Bay Middle School', (41.4841402, -81.9268821))",15,9,365,10,"('Bay High School', (41.486959999999996, -81.943391))"
293,130106,6,24,27,23,423,11,"('Hilliard Elementary School', (41.4616626, -81.88935359999999))",7,5,393,4,"('Bay Middle School', (41.4841402, -81.9268821))",15,9,417,4,"('Rocky River High School', (41.473676399999995, -81.85114920000001))"
196,131102,6,19,22,18,251,6,"('Bryden Elementary School', (41.469052399999995, -81.50006490000001))",5,4,237,11,"('Beachwood Middle School', (41.481005100000004, -81.50058990000001))",13,7,343,11,"('Beachwood High School', (41.4840561, -81.5013459))"
294,131103,4,19,23,22,197,10,"('Hilltop Elementary School', (41.4970588, -81.505206))",5,5,96,11,"('Beachwood Middle School', (41.481005100000004, -81.50058990000001))",14,9,91,11,"('Beachwood High School', (41.4840561, -81.5013459))"
67,131104,5,21,23,22,374,10,"('Hilltop Elementary School', (41.4970588, -81.505206))",6,5,130,11,"('Beachwood Middle School', (41.481005100000004, -81.50058990000001))",14,9,156,11,"('Beachwood High School', (41.4840561, -81.5013459))"
197,132100,6,30,24,22,328,87,"('Central Primary School', (41.390257399999996, -81.5311005))",6,4,149,31,"('Milkovich Middle School', (41.414935799999995, -81.54010140000001))",13,7,105,31,"('Bedford High School', (41.402332, -81.52539909999999))"
111,132200,6,31,26,23,199,87,"('Central Primary School', (41.390257399999996, -81.5311005))",6,4,366,31,"('Heskett Middle School', (41.4043559, -81.4978656))",14,8,249,31,"('Bedford High School', (41.402332, -81.52539909999999))"
198,132301,5,29,24,22,32,47,"('Glendale Primary School', (41.392264000000004, -81.554096))",7,4,363,31,"('Milkovich Middle School', (41.414935799999995, -81.54010140000001))",13,7,364,31,"('Bedford High School', (41.402332, -81.52539909999999))"
295,132302,6,31,26,23,242,87,"('Central Primary School', (41.390257399999996, -81.5311005))",6,4,412,31,"('Heskett Middle School', (41.4043559, -81.4978656))",14,8,336,31,"('Bedford High School', (41.402332, -81.52539909999999))"
296,133103,6,30,25,21,339,93,"('Columbus Intermediate School', (41.4012602, -81.5117233))",4,2,206,37,"('Heskett Middle School', (41.4043559, -81.4978656))",11,5,153,37,"('Northeast Ohio College Preparatory School', (41.413961, -81.531446))"
79,133104,6,31,27,22,390,93,"('Columbus Intermediate School', (41.4012602, -81.5117233))",5,3,66,65,"('Heskett Middle School', (41.4043559, -81.4978656))",13,7,315,65,"('STEAM Academy of Warrensville Heights', (41.432138200000004, -81.4989026))"
68,134100,6,31,28,23,432,35,"('Grindstone Elementary School', (41.3603368, -81.86606970000001))",7,5,411,18,"('Ford Intermediate School', (41.3935777, -81.8178248))",16,9,198,18,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
199,134203,6,30,27,23,426,35,"('Grindstone Elementary School', (41.3603368, -81.86606970000001))",8,5,377,18,(),15,9,402,18,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
421,134204,6,31,27,23,356,35,"('Grindstone Elementary School', (41.3603368, -81.86606970000001))",8,5,377,18,(),16,9,275,18,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
